Flow ID	Src IP	Src Port	Dst IP	Dst Port	Protocol	Timestamp	Flow Duration	Total Fwd Packet	Total Bwd packets	Total Length of Fwd Packet	Total Length of Bwd Packet	Fwd Packet Length Max	Fwd Packet Length Min	Fwd Packet Length Mean	Fwd Packet Length Std	Bwd Packet Length Max	Bwd Packet Length Min	Bwd Packet Length Mean	Bwd Packet Length Std	Flow Bytes/s	Flow Packets/s	Flow IAT Mean	Flow IAT Std	Flow IAT Max	Flow IAT Min	Fwd IAT Total	Fwd IAT Mean	Fwd IAT Std	Fwd IAT Max	Fwd IAT Min	Bwd IAT Total	Bwd IAT Mean	Bwd IAT Std	Bwd IAT Max	Bwd IAT Min	Fwd PSH Flags	Bwd PSH Flags	Fwd URG Flags	Bwd URG Flags	Fwd Header Length	Bwd Header Length	Fwd Packets/s	Bwd Packets/s	Packet Length Min	Packet Length Max	Packet Length Mean	Packet Length Std	Packet Length Variance	FIN Flag Count	SYN Flag Count	RST Flag Count	PSH Flag Count	ACK Flag Count	URG Flag Count	CWR Flag Count	ECE Flag Count	Down/Up Ratio	Average Packet Size	Fwd Segment Size Avg	Bwd Segment Size Avg	Fwd Bytes/Bulk Avg	Fwd Packet/Bulk Avg	Fwd Bulk Rate Avg	Bwd Bytes/Bulk Avg	Bwd Packet/Bulk Avg	Bwd Bulk Rate Avg	Subflow Fwd Packets	Subflow Fwd Bytes	Subflow Bwd Packets	Subflow Bwd Bytes	FWD Init Win Bytes	Bwd Init Win Bytes	Fwd Act Data Pkts	Fwd Seg Size Min	Active Mean	Active Std	Active Max	Active Min	Idle Mean	Idle Std	Idle Max	Idle Min	Activity	Stage
255.255.255.255-0.0.0.0-67-68-17	0.0.0.0	68	255.255.255.255	67	17	19/07/2019 12:39	119519857	88	1	25516	289	296	289	289.9545455	2.4159864642900004	289	289	289	0	215.90554613900002	0.744646139	1358180.193	1089230.836	4207663	80273	119178949	1369872.977	1089976.18	4207663	80273	0	0	0	0	0	0	0	0	0	704	8	0.736279328	0.008366811	289	296	289.9333333	2.392873314	5.725842697	0	0	0	0	0	0	0	0	0	293.1910112	289.9545455	289	0	0	0	0	0	0	88	25516	1	289	-1	-1	88	0	0	0	0	0	0	0	0	0	Normal	Benign
192.168.3.10-239.2.11.71-53569-8662-17	192.168.3.10	53569	239.2.11.71	8662	17	19/07/2019 12:39	100032941	22	1	1104	52	52	48	50.181818181800004	2.0385887657499997	52	52	52	0	11.55619327	0.22992426064899998	4546951.864	7201613.251	20021211	2	91432464	4353926.857	7320909.794	20021211	2	0	0	0	0	0	0	0	0	0	176	8	0.21992755366500003	0.009996707	48	52	50.33333333	2.014440621	4.057971014	0	0	0	0	0	0	0	0	0	52.52173913	50.181818181800004	52	0	0	0	0	0	0	22	1104	1	52	-1	-1	22	0	445597.3333	771751.3217	1336739	24	13898169	5598916.996	20021211	6566263	Normal	Benign
0.87.248.248-3.0.0.0-0-0-0	0.87.248.248	0	3.0.0.0	0	0	19/07/2019 12:39	60006009	1	1	0	0	0	0	0	0	0	0	0	0	0	0.033329995	60006009	0	60006009	60006009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016664998	0.016664998	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	-1	-1	0	0	0	0	0	0	60006009	0	60006009	60006009	Normal	Benign
192.168.3.29-192.168.3.31-34788-9200-6	192.168.3.29	34788	192.168.3.31	9200	6	19/07/2019 12:40	114205097	31	26	39570	5545	5792	0	1276.451613	1534.757632	966	0	213.26923076900002	235.1938022	395.03490811800003	0.499102067	2039376.7321400002	6132892.413	35016013	12	114198031	3806601.0333300005	8023423.202269999	35016013	54	114205084	4568203.36	8615574.538	35016462	47	0	1	0	0	992	832	0.271441475	0.227660592	0	5792	794.5	1242.951372	1544928.114	0	0	0	1	1	0	0	0	0	808.4385964910001	1276.451613	213.26923076900002	0	0	0	0	0	0	31	39570	26	5545	-1	6751	18	0	1593122.571	1724786.768	4028361	6328	14720625.14	11223779.93	35016013	6985680	Normal	Benign
8.0.6.4-8.6.0.1-0-0-0	8.6.0.1	0	8.0.6.4	0	0	19/07/2019 12:41	119019969	245	1	0	0	0	0	0	0	0	0	0	0	0	2.066880054	485795.7918	301706.6712	1806833	288	118262206	484681.1721	301820.9351	1806833	288	0	0	0	0	0	0	0	0	0	0	0	2.0584781029499997	0.008401951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	Normal	Benign
192.168.3.29-92.63.194.15-9001-1843-6	92.63.194.15	1843	192.168.3.29	9001	6	19/07/2019 12:43	148195	2	4	47	0	47	0	23.5	33.23401872	0	0	0	0	317.1497014	40.487195924299996	29639	64243.651962699994	144545	78	2762	2762	0	2762	2762	148195	49398.33333	84859.29336	147385	161	0	0	0	0	40	104	13.49573197	26.991463949499998	0	47	6.714285714	17.764330231400002	315.5714286	0	1	0	0	0	0	1	1	2	7.833333333330001	23.5	0	0	0	0	0	0	0	2	47	4	0	-1	229	1	0	0	0	0	0	0	0	0	0	Normal	Benign
192.168.3.10-239.2.11.71-53569-8662-17	192.168.3.10	53569	239.2.11.71	8662	17	19/07/2019 12:41	118708095	25	1	1276	52	56	48	51.04	2.388863049	52	52	52	0	11.18710565	0.219024659	4748323.8	7698232.005469999	20021259	2	98705742	4112739.25	7162480.722	20021259	2	0	0	0	0	0	0	0	0	0	200	8	0.21060063342799998	0.008424025	48	56	51.111111111099994	2.309401077	5.333333333	0	0	0	0	0	0	0	0	0	53.076923076899995	51.04	52	0	0	0	0	0	0	25	1276	1	52	-1	-1	25	0	1574668	1724801.1204400002	3418076	29	16283438.43	4513719.581	20021259	8597547	Normal	Benign
255.255.255.255-0.0.0.0-67-68-17	0.0.0.0	68	255.255.255.255	67	17	19/07/2019 12:41	119554169	87	1	25245	289	300	289	290.1724138	2.7245946852499996	289	289	289	0	213.5768264	0.7360680161640001	1374185.851	1083595.239	4192494	80699	116551097	1355245.314	1075367.194	4192494	80699	0	0	0	0	0	0	0	0	0	696	8	0.7277036068899999	0.008364409	289	300	290.1460674	2.6991183821499996	7.285240040860001	0	0	0	0	0	0	0	0	0	293.44318181799997	290.1724138	289	0	0	0	0	0	0	87	25245	1	289	-1	-1	87	0	0	0	0	0	0	0	0	0	Normal	Benign
0.87.248.248-3.0.0.0-0-0-0	0.87.248.248	0	3.0.0.0	0	0	19/07/2019 12:41	60006076	1	1	0	0	0	0	0	0	0	0	0	0	0	0.033329958	60006076	0	60006076	60006076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016664979	0.016664979	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	-1	-1	0	0	0	0	0	0	60006076	0	60006076	60006076	Normal	Benign
192.168.3.29-192.168.3.31-34788-9200-6	192.168.3.29	34788	192.168.3.31	9200	6	19/07/2019 12:43	85114798	13	13	37192	3610	10444	0	2860.923077	3162.49349	2034	0	277.6923077	562.8620886	479.376101	0.30546979621599996	3404591.92	9547078.408669999	35015485	7	85104030	7092002.5	13051450.83	35015485	21	85114779	7092898.25	13051204.31	35015935	7	0	1	0	0	416	416	0.15273489810799998	0.15273489810799998	0	10444	1586.518519	2537.420819	6438504.413	0	0	0	1	1	0	0	0	1	1647.538462	2860.923077	277.6923077	0	0	0	0	0	0	13	37192	13	3610	-1	6751	9	0	15531	4301.372688	19132	10768	28346602.67	5775421.517	35015485	25012042	Normal	Benign
8.0.6.4-8.6.0.1-0-0-0	8.6.0.1	0	8.0.6.4	0	0	19/07/2019 12:43	119073637	251	1	0	0	0	0	0	0	0	0	0	0	0	2.116337473	474396.9602	349222.4835	1750374	13	117323263	469293.052	340413.49690100003	1744349	13	0	0	0	0	0	0	0	0	0	0	0	2.1079393081799997	0.008398165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	Normal	Benign
192.168.3.10-239.2.11.71-53569-8662-17	192.168.3.10	53569	239.2.11.71	8662	17	19/07/2019 12:43	118699785	31	1	1576	52	56	48	50.83870968	2.353674775	52	52	52	0	13.71527337	0.269587683	3829025.3225800004	6554116.428	18731843	2	106613398	3553779.9333300004	6481369.699	18731843	2	0	0	0	0	0	0	0	0	0	248	8	0.261163068	0.008424615	48	56	50.90909091	2.296241989	5.272727273	0	0	0	0	0	0	0	0	0	52.5	50.83870968	52	0	0	0	0	0	0	31	1576	1	52	-1	-1	31	0	1503262.8	1197008.416	3353349	26	13897930	5158090.534990001	18731843	5463754	Normal	Benign
255.255.255.255-0.0.0.0-67-68-17	0.0.0.0	68	255.255.255.255	67	17	19/07/2019 12:43	119583066	86	1	24952	289	296	289	290.1395349	2.599379069	289	289	289	0	211.07503632700002	0.727527759	1390500.7674399999	1083396.6791100001	4126035	57037	119228817	1402691.965	1083876.201	4126035	57037	0	0	0	0	0	0	0	0	0	688	8	0.7191653707889999	0.008362388	289	296	290.1136364	2.574998351	6.63061651	0	0	0	0	0	0	0	0	0	293.4482759	290.1395349	289	0	0	0	0	0	0	86	24952	1	289	-1	-1	86	0	0	0	0	0	0	0	0	0	Normal	Benign
0.87.248.248-3.0.0.0-0-0-0	0.87.248.248	0	3.0.0.0	0	0	19/07/2019 12:43	60006068	1	1	0	0	0	0	0	0	0	0	0	0	0	0.033329962563099995	60006068	0	60006068	60006068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016664981	0.016664981	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	-1	-1	0	0	0	0	0	0	60006068	0	60006068	60006068	Normal	Benign
192.168.3.29-192.168.3.31-34788-9200-6	192.168.3.29	34788	192.168.3.31	9200	6	19/07/2019 12:45	118140079	19	19	21457	5144	4096	0	1129.315789	1406.035247	2034	0	270.7368421	461.0625219	225.1649078	0.321652062	3192975.108	8217351.728	35005975	12	118133633	6562979.611	10935120.890999999	35005975	122	118140066	6563337	10936198.13	35006402	55	0	1	0	0	608	608	0.16082603093599998	0.16082603093599998	0	4096	734.2307692310001	1125.635551	1267055.393	0	0	0	1	1	0	0	0	1	753.5526315789999	1129.315789	270.7368421	0	0	0	0	0	0	19	21457	19	5144	-1	6751	10	0	681697.1667	1635502.7026799999	4020083	5407	19004333.33	11237784.13	35005975	7004376	Normal	Benign
8.0.6.4-8.6.0.1-0-0-0	8.6.0.1	0	8.0.6.4	0	0	19/07/2019 12:45	119073402	241	1	0	0	0	0	0	0	0	0	0	0	0	2.032359838	494080.50622399995	298291.81032399996	1688379	13	118072863	491970.2625	297107.0558	1688379	13	0	0	0	0	0	0	0	0	0	0	0	2.023961657	0.008398181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	Normal	Benign
192.168.3.10-239.2.11.71-53569-8662-17	192.168.3.10	53569	239.2.11.71	8662	17	19/07/2019 12:45	118716368	25	1	1260	52	56	48	50.4	2.309401077	52	52	52	0	11.05155104	0.21900939556999996	4748654.72	7142022.6602300005	20021344	2	110129433	4588726.375	7249759.993	20021344	2	0	0	0	0	0	0	0	0	0	200	8	0.21058595727899998	0.008423438	48	56	50.51851852	2.259516122	5.105413105	0	0	0	0	0	0	0	0	0	52.46153846	50.4	52	0	0	0	0	0	0	25	1260	1	52	-1	-1	25	0	679449.25	786056.1957899999	1418979	33	14220244.63	4803591.886	20021344	7930678	Normal	Benign
255.255.255.255-0.0.0.0-67-68-17	0.0.0.0	68	255.255.255.255	67	17	19/07/2019 12:45	119208559	86	1	24938	289	296	289	289.97674418599996	2.439752852	289	289	289	0	211.6207109	0.7298133685179999	1386146.035	1059082.023	4131114	61615	117501398	1382369.388	1064784.737	4131114	61615	0	0	0	0	0	0	0	0	0	688	8	0.721424709	0.008388659	289	296	289.9545455	2.4159864642900004	5.836990596	0	0	0	0	0	0	0	0	0	293.2873563	289.97674418599996	289	0	0	0	0	0	0	86	24938	1	289	-1	-1	86	0	0	0	0	0	0	0	0	0	Normal	Benign
0.87.248.248-3.0.0.0-0-0-0	0.87.248.248	0	3.0.0.0	0	0	19/07/2019 12:45	60006141	1	1	0	0	0	0	0	0	0	0	0	0	0	0.033329922	60006141	0	60006141	60006141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016664961	0.016664961	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	-1	-1	0	0	0	0	0	0	60006141	0	60006141	60006141	Normal	Benign
192.168.3.29-8.8.8.8-50603-53-17	192.168.3.29	50603	8.8.8.8	53	17	19/07/2019 12:39	14009	1	3	45	228	45	45	45	0	106	45	76	30.5122926	19487.47234	285.5307302	4669.666667	7983.423973	13888	18	0	0	0	0	0	14009	7004.5	9880.403054	13991	18	0	0	0	0	8	24	71.38268256	214.1480477	45	106	63.6	27.45541841	753.8	0	0	0	0	0	0	0	0	3	79.5	45	76	0	0	0	0	0	0	1	45	3	228	-1	-1	1	0	0	0	0	0	0	0	0	0	Normal	Benign
192.168.3.29-192.168.3.31-34788-9200-6	192.168.3.29	34788	192.168.3.31	9200	6	19/07/2019 12:47	116222720	35	29	65960	8921	6038	0	1884.571429	2045.126492	4096	0	307.6206897	753.0474948880001	644.2888275	0.550666858	1844805.0793700002	4733683.291	25009921	6	116222562	3418310.647	6046297.4299800005	25009921	22	116222690	4150810.357	6447965.757	25010341	6	0	1	0	0	1120	928	0.301145938	0.24952092	0	6038	1215.030769	1793.883017	3218016.28	0	0	0	1	1	0	0	0	0	1234.015625	1884.571429	307.6206897	0	0	0	0	0	0	35	65960	29	8921	-1	6751	22	0	1016611.444	2131391.9270200003	6044847	5906	11894790.56	6155704.6426099995	25009921	7000708	Normal	Benign
8.0.6.4-8.6.0.1-0-0-0	8.6.0.1	0	8.0.6.4	0	0	19/07/2019 12:47	119244805	244	1	0	0	0	0	0	0	0	0	0	0	0	2.0545968438599997	488708.2172	326654.24701500003	1625854	7585	118244306	486602.08230500005	325664.10589299997	1625854	7585	0	0	0	0	0	0	0	0	0	0	0	2.0462107343000002	0.00838611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	Normal	Benign
192.168.3.10-239.2.11.71-53569-8662-17	192.168.3.10	53569	239.2.11.71	8662	17	19/07/2019 12:47	118723064	32	1	1620	52	56	48	50.625	2.406308912	52	52	52	0	14.08319448	0.277957786	3710095.75	6628704.598	20002817	2	98720247	3184524.097	6022501.434	18704394	2	0	0	0	0	0	0	0	0	0	256	8	0.269534823	0.008422963	48	56	50.70588235	2.355257327	5.547237076649999	0	0	0	0	0	0	0	0	0	52.24242424	50.625	52	0	0	0	0	0	0	32	1620	1	52	-1	-1	32	0	1502317.75	1389999.6737600002	3366174	34	14089220.75	5413439.826	20002817	5435089	Normal	Benign
255.255.255.255-0.0.0.0-67-68-17	0.0.0.0	68	255.255.255.255	67	17	19/07/2019 12:47	119930760	90	1	26094	289	296	289	289.9333333	2.392873314	289	289	289	0	219.9852648	0.7587711442839999	1332564	1032238.608	4076501	52963	119175748	1339053.348	1036239.1466200001	4076501	52963	0	0	0	0	0	0	0	0	0	720	8	0.750433	0.008338144	289	296	289.9130435	2.370385854	5.618729097	0	0	0	0	0	0	0	0	0	293.0989011	289.9333333	289	0	0	0	0	0	0	90	26094	1	289	-1	-1	90	0	0	0	0	0	0	0	0	0	Normal	Benign
0.87.248.248-3.0.0.0-0-0-0	0.87.248.248	0	3.0.0.0	0	0	19/07/2019 12:47	60007942	1	1	0	0	0	0	0	0	0	0	0	0	0	0.033328921695099996	60007942	0	60007942	60007942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016664461	0.016664461	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	-1	-1	0	0	0	0	0	0	60007942	0	60007942	60007942	Normal	Benign
192.168.3.29-192.168.3.31-34788-9200-6	192.168.3.29	34788	192.168.3.31	9200	6	19/07/2019 12:49	95079442	9	11	11789	5515	4096	0	1309.888889	1424.875034	4096	0	501.3636364	1205.049316	181.99517830599999	0.210350414	5004181.158	12021603.52	35017735	13	95079308	11884913.5	16678157.49	35017735	340	95079429	9507942.9	15539232.07	35018115	65	0	1	0	0	288	352	0.094657686	0.115692728	0	4096	1019.047619	1482.236266	2197024.348	0	0	0	1	1	0	0	0	1	1070	1309.888889	501.3636364	0	0	0	0	0	0	9	11789	11	5515	-1	6751	5	0	13641.333333300001	10543.5148	25698	6149	31677508.67	5776739.483	35017735	25007107	Normal	Benign
8.0.6.4-8.6.0.1-0-0-0	8.6.0.1	0	8.0.6.4	0	0	19/07/2019 12:49	119576379	261	1	0	0	0	0	0	0	0	0	0	0	0	2.191068187	458147.04597700003	320894.2494	1557904	16	118575563	456059.8577	319733.1704	1557904	16	0	0	0	0	0	0	0	0	0	0	0	2.1827053317900003	0.008362856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	Normal	Benign
192.168.3.10-239.2.11.71-53569-8662-17	192.168.3.10	53569	239.2.11.71	8662	17	19/07/2019 12:49	118681140	37	1	1924	52	68	48	52	4.109609335309999	52	52	52	0	16.649654696600003	0.320185667	3207598.378	6325726.601319999	20003574	2	106618940	2961637.222	6233438.755890001	20003574	2	0	0	0	0	0	0	0	0	0	296	8	0.311759729	0.008425939	48	68	52	4	16	0	0	0	0	0	0	0	0	0	53.368421052600006	52	52	0	0	0	0	0	0	37	1924	1	52	-1	-1	37	0	1198209.25	1592100.2268299998	3361230	23	14235296.13	5242238.172	20003574	5837467	Normal	Benign
255.255.255.255-0.0.0.0-67-68-17	0.0.0.0	68	255.255.255.255	67	17	19/07/2019 12:49	119472495	88	1	25516	289	296	289	289.9545455	2.4159864642900004	289	289	289	0	215.9911367	0.744941336	1357641.9886399999	1013285.0219700001	3852982	16732	119212590	1370259.6551700002	1012182.027	3852982	16732	0	0	0	0	0	0	0	0	0	704	8	0.736571208	0.008370127	289	296	289.9333333	2.392873314	5.725842697	0	0	0	0	0	0	0	0	0	293.1910112	289.9545455	289	0	0	0	0	0	0	88	25516	1	289	-1	-1	88	0	0	0	0	0	0	0	0	0	Normal	Benign
0.87.248.248-3.0.0.0-0-0-0	0.87.248.248	0	3.0.0.0	0	0	19/07/2019 12:49	60006085	1	1	0	0	0	0	0	0	0	0	0	0	0	0.033329953	60006085	0	60006085	60006085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016664977	0.016664977	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	-1	-1	0	0	0	0	0	0	60006085	0	60006085	60006085	Normal	Benign
192.168.3.29-192.168.3.31-34788-9200-6	192.168.3.29	34788	192.168.3.31	9200	6	19/07/2019 12:51	95076726	7	9	6122	3361	2052	0	874.5714285710001	1090.797546	2034	0	373.4444444	644.4228253	99.74049800579999	0.168285138	6338448.4	13297620.33	35017599	12	95070018	15845003	17730358.53	35017599	6396	95076714	11884589.25	16683389.31	35017982	441	0	1	0	0	224	288	0.073624748	0.09466039	0	2052	677.4705882	915.3306177039999	837830.1397	0	0	0	1	1	0	0	0	1	719.8125	874.5714285710001	373.4444444	0	0	0	0	0	0	7	6122	9	3361	-1	6751	3	0	6593.666667	171.88465124400003	6708	6396	31683493.67	5774138.369	35017599	25016093	Normal	Benign
8.0.6.4-8.6.0.1-0-0-0	8.6.0.1	0	8.0.6.4	0	0	19/07/2019 12:51	119518688	248	1	0	0	0	0	0	0	0	0	0	0	0	2.083356203	481930.19354799995	334830.54678800004	1501077	12	119409573	483439.56680200004	334663.92191100004	1501077	12	0	0	0	0	0	0	0	0	0	0	0	2.07498931	0.008366892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	Normal	Benign
